"","Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"11","C1_Identity__DOWN","GO:0006754","ATP biosynthetic process","40/2154","92/11518",0.434782608695652,2.32489604779783,6.11914069368808,3.61907044219099e-08,1.88933969614073e-05,1.88933969614073e-05,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/UQCC3/NDUFS6/NDUFS7/NDUFA3/NDUFA11/NDUFA2/NDUFB10/ALDOA/NDUFV1/DNAJC30/NDUFB11/PINK1/NDUFV3/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/TGFB1/NDUFS3/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/ATP5MGL",40
"12","C1_Identity__DOWN","GO:0009201","ribonucleoside triphosphate biosynthetic process","44/2154","106/11518",0.415094339622642,2.21961773619944,6.05003118115415,4.11451894194727e-08,1.88933969614073e-05,1.88933969614073e-05,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/UQCC3/NDUFS6/NDUFS7/NDUFA3/NME3/NME4/NDUFA11/NDUFA2/NDUFB10/ALDOA/NDUFV1/DNAJC30/NDUFB11/PINK1/NDUFV3/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/TGFB1/NDUFS3/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NDUFS5/IMPDH1/NDUFA9/UCKL1/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/ATP5MGL",44
"13","C1_Identity__DOWN","GO:0009060","aerobic respiration","65/2154","183/11518",0.355191256830601,1.89930032320096,5.88140873893543,4.61292591744226e-08,1.88933969614073e-05,1.88933969614073e-05,"ATP5F1D/NDUFS8/COX6A2/NDUFB7/ARL2/ANTKMT/NOP53/UQCC3/NDUFS6/NDUFS7/CHCHD10/NDUFA3/COX5B/UCN/NDUFA11/NDUFA2/CHCHD2/IDH3G/NDUFB10/NDUFV1/DNAJC30/NDUFB11/ABCD1/UQCR10/COX8A/PINK1/SDHAF2/COX4I2/MDH2/NDUFV3/CBFA2T3/UQCR11/ATP5ME/UQCRC1/NDUFB2/UQCC2/NDUFC1/UQCRQ/ATP5MF/CYC1/SURF1/NDUFB9/NDUFA6/COX4I1/IDH2/NDUFS3/COX7A1/ACO2/NDUFAB1/ATP5F1E/COX6B1/TAFAZZIN/COX5A/PPIF/NUPR1/NDUFS5/COL6A1/NDUFA9/NDUFA1/NDUFA8/BLOC1S1/ND6/SDHA/MTCO2P12/OGDHL",65
"14","C1_Identity__DOWN","GO:0019646","aerobic electron transport chain","38/2154","86/11518",0.441860465116279,2.36274319276198,6.08364648144507,4.67391361557174e-08,1.88933969614073e-05,1.88933969614073e-05,"NDUFS8/COX6A2/NDUFB7/UQCC3/NDUFS6/NDUFS7/NDUFA3/COX5B/NDUFA2/NDUFB10/NDUFV1/UQCR10/COX8A/PINK1/SDHAF2/COX4I2/NDUFV3/UQCR11/UQCRC1/NDUFB2/NDUFC1/UQCRQ/CYC1/NDUFB9/NDUFA6/COX4I1/NDUFS3/COX7A1/NDUFAB1/COX6B1/COX5A/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6/SDHA/MTCO2P12",38
"15","C1_Identity__DOWN","GO:0009142","nucleoside triphosphate biosynthetic process","46/2154","114/11518",0.403508771929825,2.15766668295623,5.95757044631866,5.73990186356673e-08,2.1545131637888e-05,2.1545131637888e-05,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/UQCC3/NDUFS6/NDUFS7/NDUFA3/NME3/NME4/NDUFA11/NDUFA2/NDUFB10/ALDOA/NDUFV1/DNAJC30/NDUFB11/DTYMK/PINK1/AK1/NDUFV3/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/TGFB1/NDUFS3/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NDUFS5/IMPDH1/NDUFA9/UCKL1/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/ATP5MGL",46
"16","C1_Identity__DOWN","GO:0045333","cellular respiration","75/2154","223/11518",0.336322869955157,1.79840613562836,5.77424238211178,6.17303625648521e-08,2.16262036852198e-05,2.16262036852198e-05,"ATP5F1D/NDUFS8/COX6A2/NDUFB7/ARL2/ANTKMT/NOP53/MTLN/UQCC3/NDUFS6/NDUFS7/CHCHD5/ETFB/CHCHD10/NDUFA3/COX5B/UCN/NDUFA11/NDUFA2/CHCHD2/IDH3G/PLEC/NDUFB10/NDUFV1/DNAJC30/NDUFB11/ABCD1/UQCR10/COX8A/PINK1/TRAP1/SDHAF2/COX4I2/SLC25A22/MDH2/NDUFV3/TREX1/CBFA2T3/UQCR11/ATP5ME/UQCRC1/NDUFB2/UQCC2/NDUFC1/UQCRQ/ATP5MF/CYC1/SURF1/NDUFB9/NDUFA6/COX4I1/IDH2/NDUFS3/PRELID1/COX7A1/ACO2/NDUFAB1/ATP5F1E/COX6B1/MYBBP1A/TAFAZZIN/COX5A/PPIF/NUPR1/NDUFS5/COL6A1/NDUFA9/NDUFA1/NDUFA8/BLOC1S1/AIFM2/ND6/SDHA/MTCO2P12/OGDHL",75
"17","C1_Identity__DOWN","GO:0042773","ATP synthesis coupled electron transport","40/2154","94/11518",0.425531914893617,2.27543017444043,5.95488456850469,7.45434899141826e-08,2.30427082058253e-05,2.30427082058253e-05,"NDUFS8/COX6A2/NDUFB7/UQCC3/NDUFS6/NDUFS7/NDUFA3/COX5B/NDUFA2/CHCHD2/NDUFB10/NDUFV1/UQCR10/COX8A/PINK1/SDHAF2/COX4I2/NDUFV3/UQCR11/UQCRC1/NDUFB2/NDUFC1/UQCRQ/CYC1/NDUFB9/NDUFA6/COX4I1/NDUFS3/COX7A1/NDUFAB1/COX6B1/TAFAZZIN/COX5A/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6/SDHA/MTCO2P12",40
"18","C1_Identity__DOWN","GO:0042775","mitochondrial ATP synthesis coupled electron transport","40/2154","94/11518",0.425531914893617,2.27543017444043,5.95488456850469,7.45434899141826e-08,2.30427082058253e-05,2.30427082058253e-05,"NDUFS8/COX6A2/NDUFB7/UQCC3/NDUFS6/NDUFS7/NDUFA3/COX5B/NDUFA2/CHCHD2/NDUFB10/NDUFV1/UQCR10/COX8A/PINK1/SDHAF2/COX4I2/NDUFV3/UQCR11/UQCRC1/NDUFB2/NDUFC1/UQCRQ/CYC1/NDUFB9/NDUFA6/COX4I1/NDUFS3/COX7A1/NDUFAB1/COX6B1/TAFAZZIN/COX5A/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6/SDHA/MTCO2P12",40
"19","C1_Identity__DOWN","GO:0015986","proton motive force-driven ATP synthesis","33/2154","71/11518",0.464788732394366,2.48534662011064,6.02106028676881,8.06014579871126e-08,2.35311478734598e-05,2.35311478734598e-05,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/NDUFS6/NDUFS7/NDUFA3/NDUFA11/NDUFA2/NDUFB10/NDUFV1/DNAJC30/NDUFB11/NDUFV3/ATP5ME/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/NDUFS3/NDUFAB1/ATP5F1E/VPS9D1/ATP5MC2/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/ATP5MGL",33
"20","C1_Identity__DOWN","GO:0022900","electron transport chain","56/2154","152/11518",0.368421052631579,1.97004349313395,5.77392323190988,9.45343723924626e-08,2.61462172064416e-05,2.61462172064416e-05,"NDUFS8/COX6A2/NDUFB7/UQCC3/NDUFS6/NDUFS7/ETFB/NDUFA3/AKR7A2/COX5B/NDUFA2/CHCHD2/PLEC/NDUFB10/NDUFV1/UQCR10/GFUS/COX8A/PINK1/SDHAF2/COX4I2/ALDH4A1/SLC25A22/NDUFV3/DHRS3/UQCR11/UQCRC1/NDUFB2/NDUFC1/UQCRQ/CYC1/SURF1/NDUFB9/NDUFA6/COX4I1/NDUFS3/COX7A1/POR/CYBA/NDUFAB1/COX6B1/MYBBP1A/TAFAZZIN/COX5A/NDUFS5/NDUFA9/NDUFA1/NDUFA8/GLRX2/HAAO/AIFM2/ND6/SDHA/NDOR1/MTCO2P12/NQO2",56
"21","C1_Identity__DOWN","GO:0022904","respiratory electron transport chain","45/2154","113/11518",0.398230088495575,2.12944018537235,5.78650913614324,1.26545748643399e-07,3.19478985411723e-05,3.19478985411723e-05,"NDUFS8/COX6A2/NDUFB7/UQCC3/NDUFS6/NDUFS7/ETFB/NDUFA3/COX5B/NDUFA2/CHCHD2/PLEC/NDUFB10/NDUFV1/UQCR10/COX8A/PINK1/SDHAF2/COX4I2/SLC25A22/NDUFV3/UQCR11/UQCRC1/NDUFB2/NDUFC1/UQCRQ/CYC1/NDUFB9/NDUFA6/COX4I1/NDUFS3/COX7A1/NDUFAB1/COX6B1/MYBBP1A/TAFAZZIN/COX5A/NDUFS5/NDUFA9/NDUFA1/NDUFA8/AIFM2/ND6/SDHA/MTCO2P12",45
"22","C1_Identity__DOWN","GO:0033108","mitochondrial respiratory chain complex assembly","41/2154","99/11518",0.414141414141414,2.21452219502359,5.82064144115107,1.27670003684989e-07,3.19478985411723e-05,3.19478985411723e-05,"NDUFS8/NDUFB7/NDUFAF3/UQCC3/NDUFS7/SDHAF1/ECSIT/UQCC4/NDUFA3/COA3/NDUFA11/NDUFA2/NDUFB10/NDUFB11/COA4/NDUFAF8/SDHAF2/COA8/UQCC5/TMEM223/DMAC1/TACO1/NDUFB2/UQCC2/NDUFC1/COX17/SURF1/COX14/NDUFB9/DMAC2/NDUFA6/NDUFS3/NDUFAB1/TAFAZZIN/NDUFS5/NDUFA9/NDUFA1/NDUFA8/PET100/ND6/PET117",41
"23","C1_Identity__DOWN","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","29/2154","63/11518",0.46031746031746,2.46143756171611,5.57846642695477,6.30604945395996e-07,0.00015062859036618,0.00015062859036618,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/NDUFS6/NDUFS7/NDUFA3/NDUFA11/NDUFA2/NDUFB10/NDUFV1/DNAJC30/NDUFB11/NDUFV3/ATP5ME/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/NDUFS3/NDUFAB1/ATP5F1E/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6/SDHA",29
"24","C1_Identity__DOWN","GO:0015980","energy derivation by oxidation of organic compounds","89/2154","295/11518",0.301694915254237,1.61324142706514,5.11740562927711,9.82825177256908e-07,0.00022455418723848,0.00022455418723848,"ATP5F1D/NDUFS8/COX6A2/CAVIN3/NDUFB7/ARL2/ANTKMT/NOP53/MTLN/UQCC3/NDUFS6/NDUFS7/CHCHD5/ETFB/CHCHD10/NDUFA3/COMT/COX5B/PPP1CA/PPP1R3G/UCN/NDUFA11/NDUFA2/CHCHD2/IDH3G/PLEC/NDUFB10/NDUFV1/DNAJC30/NDUFB11/ABCD1/UQCR10/POMC/COX8A/GAA/PINK1/TRAP1/SDHAF2/COX4I2/SLC25A22/MDH2/NDUFV3/TREX1/CBFA2T3/UQCR11/ATP5ME/UQCRC1/NDUFB2/UQCC2/NDUFC1/UQCRQ/ATP5MF/CYC1/SURF1/PPP1R3F/NDUFB9/NDUFA6/COX4I1/IDH2/NDUFS3/PRELID1/COX7A1/ACO2/NDUFAB1/ATP5F1E/COX6B1/MYBBP1A/TAFAZZIN/PHKG2/COX5A/PPIF/NUPR1/NDUFS5/COL6A1/NDUFA9/NDUFA1/NDUFA8/BLOC1S1/MT3/GYS1/AIFM2/ND6/SDHA/KHK/MTCO2P12/PYGM/NR1D1/PPP1R1A/OGDHL",89
"25","C1_Identity__DOWN","GO:0032543","mitochondrial translation","43/2154","123/11518",0.349593495934959,1.86936763518053,4.64901223985342,1.33103222190225e-05,0.00291440596920681,0.00291440596920681,"MRPL43/AURKAIP1/GADD45GIP1/MRPL41/MRPS34/MRPL28/MRPL12/MRPL4/MRPL55/MRPL57/PTCD1/MRPS2/MRPL23/MRPS12/MRPS26/MRPL11/MRPL52/MRPS11/COA3/MRPL34/MPV17L2/MRPL17/MRPS18A/TUFM/MRPL36/MRPL54/MRPL2/MRPS15/MRPL37/RPUSD3/MALSU1/MRPL40/MRPL20/MRPL58/MRPL14/MRPL46/MTG2/TACO1/UQCC2/MRPL24/MRPL51/MRPL27/MRPL21",43
"26","C1_Identity__DOWN","GO:0007005","mitochondrion organization","122/2154","459/11518",0.265795206971678,1.42127632028774,4.41750746909707,1.45454247678439e-05,0.00305744828620079,0.00305744828620079,"ALKBH7/ATP5F1D/STUB1/NDUFS8/NDUFB7/NDUFAF3/ATG4D/SHARPIN/MICOS13/BAD/UQCC3/NDUFS7/TSPO/ATAD3A/FKBP8/SDHAF1/ECSIT/UQCC4/CHCHD10/NDUFA3/NME3/HIGD2A/TMEM11/TIMM13/CHCHD6/COA3/ROMO1/ULK1/LONP1/MAP1LC3A/CDC37/NDUFA11/TOMM40/GPX1/FIS1/NDUFA2/CHCHD2/ENDOG/PHB1/PLEC/ATPAF2/NDUFB10/TIMM50/MYH14/NDUFB11/ZNF205/PKD1/COA4/HSD17B10/NECTIN2/NDUFAF8/PINK1/BBC3/HSPA1A/SDHAF2/ATG4B/RHOT2/INF2/TIMM8B/ATP5IF1/LMNA/IFI6/COA8/CLUH/UQCC5/NOL3/JTB/TMEM102/HMGCL/SPG7/TMEM223/DMAC1/ATG10/TACO1/NDUFB2/ATG9A/UQCC2/NDUFC1/COX17/SURF1/COX14/ATP13A2/MIGA2/NDUFB9/DMAC2/NDUFA6/NDUFS3/PRELID1/COX7A1/NDUFAB1/TAFAZZIN/ATG2A/PYCARD/TIMM10/PPIF/WDR81/GPER1/MIEF2/NDUFS5/COL6A1/NDUFA9/BAX/RAB5IF/NDUFA1/TYMP/SLIRP/NDUFA8/HIP1R/PET100/AIFM2/HIGD1B/RAB3A/ND6/ATAD3B/FMC1/PET117/CLU/BOK/SREBF1/NOS3/UCP2/IER3",122
"27","C1_Identity__DOWN","GO:0010257","NADH dehydrogenase complex assembly","25/2154","59/11518",0.423728813559322,2.2657885211589,4.67493556611796,2.22774201646113e-05,0.00433584603574195,0.00433584603574195,"NDUFS8/NDUFB7/NDUFAF3/NDUFS7/ECSIT/NDUFA3/NDUFA11/NDUFA2/NDUFB10/NDUFB11/NDUFAF8/DMAC1/NDUFB2/NDUFC1/NDUFB9/DMAC2/NDUFA6/NDUFS3/NDUFAB1/TAFAZZIN/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6",25
"28","C1_Identity__DOWN","GO:0032981","mitochondrial respiratory chain complex I assembly","25/2154","59/11518",0.423728813559322,2.2657885211589,4.67493556611796,2.22774201646113e-05,0.00433584603574195,0.00433584603574195,"NDUFS8/NDUFB7/NDUFAF3/NDUFS7/ECSIT/NDUFA3/NDUFA11/NDUFA2/NDUFB10/NDUFB11/NDUFAF8/DMAC1/NDUFB2/NDUFC1/NDUFB9/DMAC2/NDUFA6/NDUFS3/NDUFAB1/TAFAZZIN/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6",25
"29","C1_Identity__DOWN","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","21/2154","47/11518",0.446808510638298,2.38920168316245,4.57694211927028,3.85204319405571e-05,0.00722945963741528,0.00722945963741528,"NDUFS8/NDUFB7/NDUFS6/NDUFS7/NDUFA3/NDUFA2/NDUFB10/NDUFV1/PINK1/NDUFV3/NDUFB2/NDUFC1/NDUFB9/NDUFA6/NDUFS3/NDUFAB1/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6",21
"30","C1_Identity__DOWN","GO:0003009","skeletal muscle contraction","16/2154","32/11518",0.5,2.6736304549675,4.54686420239351,6.03849849124595e-05,0.0105774365238325,0.0105774365238325,"C12orf57/TCAP/MYH14/GAA/TNNI3/DMPK/JSRP1/TNNC1/GSTO1/REM1/CAV3/TNNT1/MYH7/TNNT3/TNNC2/KBTBD13",16
"31","C1_Identity__DOWN","GO:0046596","regulation of viral entry into host cell","16/2154","32/11518",0.5,2.6736304549675,4.54686420239351,6.03849849124595e-05,0.0105774365238325,0.0105774365238325,"LY6E/LGALS1/NECTIN2/TRIM8/SMPD1/FURIN/IFITM3/P4HB/GSN/TRIM11/IFITM2/IFITM1/LGALS9/CD74/FCN3/HLA-DRB1",16
