"Symbol","EnsemblID","logFC","adj.P.Val","Description"
"ECHS1","ENSG00000127884",-0.650227766950106,8.88770146375043e-09,"enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]"
NA,"ENSG00000207770",0.54666835453677,1.11256769963853e-08,NA
"CIB1","ENSG00000185043",-0.552848145880085,1.15193479928239e-08,"calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]"
"HSD17B10","ENSG00000072506",-0.525648256108515,1.25001429897136e-08,"hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"CD164","ENSG00000135535",0.625758397398182,1.36543228107574e-08,"CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]"
"EIF3K","ENSG00000178982",-0.634185827994928,1.37982327636517e-08,"eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]"
"NDUFB2","ENSG00000090266",-0.639248414584009,1.52815190858494e-08,"NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]"
"DDX3X","ENSG00000215301",0.545679229556566,1.57178563542666e-08,"DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]"
"PHB1","ENSG00000167085",-0.600664152611115,1.57617073229393e-08,"prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]"
"PSMB6","ENSG00000142507",-0.614979364904616,1.61018787844452e-08,"proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]"
"GTF3C6","ENSG00000155115",-0.70155758401119,1.61018787844452e-08,"general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]"
"GASK1B","ENSG00000164125",0.596015942490267,1.64926441323424e-08,"golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]"
"ID2","ENSG00000115738",0.97322231002692,1.66885822032381e-08,"inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]"
"UQCR10","ENSG00000184076",-0.648702194607551,1.78705763612618e-08,"ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]"
"TRAM1","ENSG00000067167",0.631841284879475,1.86650517259001e-08,"translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]"
"MRPL24","ENSG00000143314",-0.579674013909074,1.99682553839382e-08,"mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]"
"ATP5F1E","ENSG00000124172",-0.610820214819799,2.07305152179343e-08,"ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]"
"MRPL20","ENSG00000242485",-0.579257404140201,2.18544339056463e-08,"mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]"
"NDUFS3","ENSG00000213619",-0.704724823959323,2.53108583151506e-08,"NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]"
"UQCC2","ENSG00000137288",-0.65770390115238,2.83533388974236e-08,"ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:21237]"
"TIMM8B","ENSG00000150779",-0.679462773426949,2.91575433384741e-08,"translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]"
"COPS9","ENSG00000172428",-0.517686941595644,3.81508106423089e-08,"COP9 signalosome subunit 9 [Source:HGNC Symbol;Acc:HGNC:21314]"
"TMED7","ENSG00000134970",0.528726818113707,3.87369792956953e-08,"transmembrane p24 trafficking protein 7 [Source:HGNC Symbol;Acc:HGNC:24253]"
"PJA2","ENSG00000198961",0.499255902162166,4.53020829580006e-08,"praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]"
"TRAPPC1","ENSG00000170043",-0.531105977771881,4.85689631412961e-08,"trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894]"
"MRPL51","ENSG00000111639",-0.632355054880292,4.87978413699256e-08,"mitochondrial ribosomal protein L51 [Source:HGNC Symbol;Acc:HGNC:14044]"
