"Symbol","EnsemblID","logFC","adj.P.Val","Description"
"TALDO1","ENSG00000177156",1.71584734597765,5.74236924483775e-34,"transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]"
"CIB1","ENSG00000185043",1.81138886275839,7.52388756808429e-34,"calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]"
"ITGB1","ENSG00000150093",-1.79060302309979,1.12956037375846e-33,"integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]"
"C19orf53","ENSG00000104979",1.84199416891543,1.12956037375846e-33,"chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]"
NA,"ENSG00000108294",1.77148493957076,1.2019932312346e-33,NA
"NUDC","ENSG00000090273",1.80641801183358,1.21265423643941e-33,"nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]"
"PFN1","ENSG00000108518",1.70853394679784,1.53539924576839e-33,"profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]"
"SERF2","ENSG00000140264",1.77236028241007,1.56833886808707e-33,"small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:HGNC:10757]"
"","ENSG00000258199",1.78458845833328,1.65690300862253e-33,"novel transcript, sense overlapping to SMARCC2"
"LAMTOR1","ENSG00000149357",1.75455690472459,1.65690300862253e-33,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]"
"UBA52","ENSG00000221983",1.77364114117951,4.86102063728933e-33,"ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]"
"DYNLRB1","ENSG00000125971",1.85123318682891,5.73514660658965e-33,"dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]"
"SNRPD2","ENSG00000125743",1.78498584442478,6.72935534227071e-33,"small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]"
"CUEDC2","ENSG00000107874",1.82512852648924,7.12109044623262e-33,"CUE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28352]"
"CST3","ENSG00000101439",1.71597485461421,7.90637539471792e-33,"cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]"
"CTDNEP1","ENSG00000175826",1.68142771935598,8.31143805282066e-33,"CTD nuclear envelope phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19085]"
"FIS1","ENSG00000214253",1.7474260911529,8.75885866391438e-33,"fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]"
"RPL8","ENSG00000161016",1.74964255800515,8.86551844476296e-33,"ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]"
"NELFE","ENSG00000204356",1.70070247576324,1.54859794117872e-32,"negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]"
"MRPS34","ENSG00000074071",1.61115837142395,1.86720012928752e-32,"mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]"
"DEXI","ENSG00000182108",1.8281029115933,1.86720012928752e-32,"Dexi homolog [Source:HGNC Symbol;Acc:HGNC:13267]"
"CFL1","ENSG00000172757",1.76894605573275,1.93388620291599e-32,"cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]"
"RPL18","ENSG00000063177",1.6474569674637,2.05706693632009e-32,"ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]"
"RPS19","ENSG00000105372",1.6798132430509,2.10912728521996e-32,"ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]"
"JTB","ENSG00000143543",1.61822646726272,2.10912728521996e-32,"jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]"
"COPS9","ENSG00000172428",1.71155593828125,2.10912728521996e-32,"COP9 signalosome subunit 9 [Source:HGNC Symbol;Acc:HGNC:21314]"
